air,n_trace,blowup,n_queries,proof_bytes,prove_ms,verify_us,rows_per_sec
fib_w2_d2,256,4,40,200688,8.216,975.7,31157
fib_w2_d2,1024,4,40,244368,32.510,1238.8,31498
fib_w2_d2,4096,4,40,312368,134.091,1595.2,30546
poseidon_w16_d2,256,4,40,200688,8.608,1062.3,29741
poseidon_w16_d2,1024,4,40,244368,36.432,1293.7,28107
poseidon_w16_d2,4096,4,40,312368,139.215,1573.6,29422
regmach_w8_d2,256,4,40,200688,8.421,1001.8,30398
regmach_w8_d2,1024,4,40,244368,34.250,1252.8,29898
regmach_w8_d2,4096,4,40,312368,139.022,1512.0,29463
cairo_simple_w8_d2,256,4,40,200688,8.245,988.0,31049
cairo_simple_w8_d2,1024,4,40,244368,34.049,1276.0,30074
cairo_simple_w8_d2,4096,4,40,312368,138.812,1554.5,29507
